"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price EUR"
"1","2","399-4461-1-ND","C410C220J1G5TA7200","CAP CER 22PF 100V C0G/NP0 AXIAL","C1-2","2","0","0,29000","0,58"
"2","2","399-4454-1-ND","C410C104M5U5TA7200","CAP CER 0.1UF 50V Z5U AXIAL","C4-5","2","0","0,23000","0,46"
"3","1","4236PHCT-ND","MAL213831109E3","CAP ALUM 10UF 20% 50V AXIAL","C3","1","0","2,71000","2,71"
"4","100","1N4148FSCT-ND","1N4148TR","DIODE GEN PURP 100V 200MA DO35","D1-48","100","0","0,03150","3,15"
"5","2","BZX79C3V6-ND","BZX79C3V6","DIODE ZENER 3.6V 500MW DO35","D49-50","2","0","0,12000","0,24"
"6","1","495-3894-ND","B59886C0120A070","PTC RESET FUSE 550V 12MA RADIAL","F1","1","0","1,33000","1,33"
"7","1","A135698-ND","2172034-1","CONN RCPT USB2.0 MINI B 5P R/A","J1","1","0","0,75000","0,75"
"8","1","952-2121-ND","M20-9980346","CONN HEADER VERT 6POS 2.54MM","J2","1","0","0,21000","0,21"
"9","1","C503B-RAN-CZ0C0AA2CT-ND","C503B-RAN-CZ0C0AA2","LED RED CLEAR 5MM ROUND T/H","LED1","1","0","0,13000","0,13"
"10","1","C503B-GAN-CB0F0791-ND","C503B-GAN-CB0F0791","LED GREEN CLEAR 5MM ROUND T/H","LED2","1","0","0,22000","0,22"
"11","10","CF14JT1K50CT-ND","CF14JT1K50","RES 1.5K OHM 1/4W 5% AXIAL","R1,R7,R8","10","0","0,03500","0,35"
"12","2","RNF18FTD75R0CT-ND","RNF18FTD75R0","RES 75 OHM 1/8W 1% AXIAL","R2-3","2","0","0,09000","0,18"
"13","1","CF14JT10K0CT-ND","CF14JT10K0","RES 10K OHM 1/4W 5% AXIAL","R4","1","0","0,09000","0,09"
"14","10","450-1650-ND","1825910-6","SWITCH TACTILE SPST-NO 0.05A 24V","SW50-51","10","0","0,08100","0,81"
"15","1","ATMEGA328-PU-ND","ATMEGA328-PU","IC MCU 8BIT 32KB FLASH 28DIP","U1","1","0","1,70000","1,70"
"16","1","887-2015-ND","9B-16.000MBBK-B","CRYSTAL 16.0000MHZ 20PF T/H","Y1","1","0","0,26000","0,26"
"17","10","335-1155-ND","RM2X8MM 2701","MACH SCREW PAN HEAD PHILLIPS M2","screws","10","0","0,47700","4,77"
"18","30","RPC7085-ND","04M025045HN","HEX NUT, NATURAL, NYLON, M2.5 X","nuts","30","0","0,04560","1,37"
"19","4","RPC5101-ND","SOF-15125","FOOT CYLINDRICAL 0.75"" DIA BLACK","","4","0","0,89000","3,56"
