Ref,Qty,Value,Description,Vendor
"C1, C2",2,22p,Multi layer ceramic capacitor (2.5mm pitch),
C3,1,4.7u,Electrolytic capacitor (1.5mm pitch),
"C4, C5",2,100n,Multi layer ceramic capacitor (5mm pitch),
D1-48,48,1N4148,General-purpose diode (DO-35),
"D49, D50",2,3.6V Schottky diode,3.6V Schottky diode (DO-35),
F1,1,100mA,Resettable fuse (5mm pitch),
J1,1,USB MINI-B,USB miniB connector,
J2,1,02x03,AVR ISP pin header,
LED1,1,RED,3mm LED,
LED2,1,GREEN,3mm LED,
"R1, R7, R8 ",3,1.5k,1/6W resistor,
"R2, R3",2,75R,1/6W resistor,
R4,1,10k,1/6W resistor,
SW50,1,RESET,6mm tactile switch,
SW51,1,BOOT,6mm tactile switch,
U1,1,ATMEGA328P,,
IC Socket,1,28pin IC Socket,,
Y1,1,16MHz,,
Screw,14,M2 8mm,,
Nut,26,M2,,
Spacer,4,M2 10mm,,
Rubber Feet,4,,,
PCB,1,MAIN PCB,,
PCB,1,BOTTOM PCB,,
